Source,Target,Label,Weight
SassyNeveragain,NYDailyNews,social media,1
ChristianG420,NYDailyNews,social media,1
PartyNextScore,NYDailyNews,social media,1
marc_lamers,LancasterPress,climate change,1
UniofHerts,izspilka,artificial intelligence,2
stoopidboi,NYDailyNews,social media,1
ucl,MazzucatoM,innovation,1
pablo_artal,Lo_um,innovation,2
CityUniLondon,cassbusiness,entrepreneurship,1
ArcticFlame32,NYDailyNews,social media,1
Onioyansa,NYDailyNews,social media,1
ShawlandsAcad,ShawlandsRARA,psychology,5
Christi54789292,NYDailyNews,social media,1
helsinkiuni,samikaski,artificial intelligence,1
Anthony63265451,NYDailyNews,social media,1
lexxwill_,NYDailyNews,social media,1
GlyndwrUni,WGUNorthop,criminology,4
MatthewPope,AnsonMackay,climate change,1
BarnetCouncil,WoodhouseCol,biological,2
Astroholl,HistAstro,astronomy,1
theresphysics,keelingcurve,climate change,1
tcddublin,ClinSpeechTCD,therapy,1
balfourbeatty,gedcouser,architecture,1
Sir_Gyo,NYDailyNews,social media,1
BPSOfficial,KentPsychology,psychology,1
aaaliyah9,NYDailyNews,social media,1
AnthonyMoya_,NYDailyNews,social media,1
_cchichaa,NYDailyNews,social media,1
medicineandlaw,drmelaniepope,innovation,1
RCA,ellieracheldare,artificial intelligence,1
ddipu,dundeeuni,climate change,1
maricarjagger,Anderson_Ethics,artificial intelligence,1
Beba111201,NYDailyNews,social media,1
oxford_brookes,OxHRF,geography,1
GSofA,MadeAtUni,medicine,1
UniofHerts,LamResearch,robotics,2
NoSQLDigest,BSC_CNS,architecture,2
EMLYON,valeriejobardPR,entrepreneurship,1
InfoSchoolSheff,johncoup,social media,1
MaTreekaRogers,NYDailyNews,social media,1
KANutrition,GilesYeo,cell,2
SkyiDwella346,NYDailyNews,social media,1
MalteLaub,ECPR,sustainability,1
EngineShed_BB,GLWhatmore,artificial intelligence,2
NiCHE_Canada,rsgfletcher,geography,1
esther_schuch,DorothyDankel,sustainability,1
marksimpkins,kn_webster,artificial intelligence,1
niscifest,GeoConor,drones,2
Jisc,PodcastEdtech,artificial intelligence,2
_jimduggan,RyanInstitute,climate change,1
bebemillan,NYDailyNews,social media,1
the_SRA,PrueLeith,economics,1
TheNobleGasbag,keelingcurve,sustainability,1
UCC,OxfamIreland,economics,1
noor_moalla,meganrowling,climate change,2
univofstandrews,HuntersHistory_,physics,1
RoyalFreeNHS,PrenatalTherapy,cancer,3
RobertGordonUni,MohawkPathways,pathways,1
audencia,JenCGoodman,sustainability,3
RudyCluzel,PEspinosaC,architecture,3
BPSOfficial,ResearchDigest,psychology,1
fedelowe,DeepMindAI,artificial intelligence,2
ladyinlksd,NYDailyNews,social media,1
univgroningen,RitsertJansen,patients,2
UniSouthWales,USWGeography,geography,2
PatrickHilsman,NYDailyNews,social media,1
DublinCityUni,RTEBrainstorm,physics,2
LynnClark74,suvolunteering,social media,1
StaffsUni,MadeAtUni,computer science,1
mappelab,pippociorra,architecture,1
uofglibrary,UofGMVLS,infection,2
chestertweetsuk,brygriffiths,healthcare,1
owenboswarva,SandraWachter5,artificial intelligence,1
Uni_of_Essex,EIRA_eARC,entrepreneurship,1
EdinburghNapier,shepwedd,entrepreneurship,1
spacegovuk,SpaceCareersUK,physics,3
FulbrightAwards,UniSotonIntl,artificial intelligence,1
SwanseaUni,TheScientistsC,cancer,2
tcddublin,theperchcafe,sustainability,1
jemberga,IngaSpringe,innovation,1
UCLLifeLearning,OpenCityDocs,artificial intelligence,4
understudypanc,DiabetesUK,diabetes,2
sheffielduni,alyciamllim,medicine,2
wlv_sport,UCTelford_wlv,physics,1
NursingTimes,SteveJFord,patients,1
keshavs18,NYDailyNews,social media,1
goddessofserene,NYDailyNews,social media,1
syfye,NYDailyNews,social media,1
GraemeTR,NCUBtweets,sustainability,1
rubiaaxz,NYDailyNews,social media,1
cumfycritter09,UofGMVLS,infection,2
jesswade,royalsociety,physicist,3
AkunnaChilaka,NYDailyNews,social media,1
victorpasc,ZeroRoboticsSp1,robotics,1
Charlot22496083,tcddublin,healthcare,1
pgroth,jjnoordegraaf,artificial intelligence,1
andylynn91,NYDailyNews,social media,1
geolsoc,IanDuncanHMG,innovation,1
cifuckingara,NYDailyNews,social media,1
bbcburnsy,MeehanMedia,climate change,2
jmikey,NYDailyNews,social media,1
SAGEmedia_comm,SAGEManagement,social media,1
AngliaRuskin,IZAWorldofLabor,economics,2
maineng218,NYDailyNews,social media,1
njmonline,MarietFeltkamp,cell,2
rmathematicus,royalsociety,physicist,3
eillakeille,NYDailyNews,social media,1
mohammedil,royalsociety,physicist,3
UniFAU,Schackii_C,physics,1
Bluebirdlouise,GilesYeo,cell,2
FrankPasquale,bendotolsen,artificial intelligence,2
thundermccrackn,NYDailyNews,social media,1
thatquirkyhuman,NYDailyNews,social media,1
AberUni,SueDCHA,climate change,1
CaledonianNews,Sunday_Post,psychology,1
EMLYON,Mitsuaki_Vinot,entrepreneurship,1
regentsuni,ThatNeilMartin,psychology,1
covcampus,CovUniCareers,social media,1
kerryhood,NCPHWR_Wales,healthcare,1
JuliaRyann_,NYDailyNews,social media,1
vimsu,aberdeenuni,medicine,1
delusss_,NYDailyNews,social media,1
socialpsychUK,reneebleau,psychology,1
KantanMT,AdaptCentre,artificial intelligence,2
MatthewThroup,HudCompEng,computer science,1
NDissmeyer,cvoiniciuc,biological,2
StoryingShef,JulieDaviesUK,innovation,1
ardovig,ryanezmunoz,therapy,1
wlv_uni,RSAcommunity,entrepreneurship,1
KTNUK,VentureFestScot,healthcare,1
UniOfHull,HullYorkMed,patients,1
UNCityCPH,UNEPDTU,climate change,5
1nomdeplume,NYDailyNews,social media,1
UKinIndia,NewtonFund,infection,1
SalfordPsych,VHalliwellOT,therapy,1
vincentlao18,NYDailyNews,social media,1
